date,Observed,LSTM_predicted,Raven_predicted
1981-09-02,31.8,32.08779,25.60817916666667
1981-09-03,37.5,37.601936,29.424766666666667
1981-09-04,45.2,40.170536,34.45637083333333
1981-09-05,57.6,52.51347,45.845804166666674
1981-09-06,70.200005,58.37187,58.709720833333336
1981-09-07,78.8,62.786537,66.66755416666666
1981-09-08,85.8,67.08771,71.66312916666666
1981-09-09,88.7,67.53283,74.56055416666666
1981-09-10,93.0,73.09672,77.79162083333334
1981-09-11,98.3,79.57502,82.79080416666666
1981-09-12,104.0,83.73573,89.70579583333334
1981-09-13,109.0,88.07177,94.88394583333333
1981-09-14,111.0,88.192245,98.58062916666667
1981-09-15,111.0,86.40179,100.255375
1981-09-16,109.0,83.90615,99.80784166666666
1981-09-17,107.0,79.96464,96.93253333333332
1981-09-18,105.0,75.098274,93.60191666666667
1981-09-19,104.0,70.63823,89.45803333333333
1981-09-20,101.0,73.03011,85.989575
1981-09-21,98.1,70.61727,82.87390833333333
1981-09-22,94.4,62.943527,79.57623333333333
1981-09-23,90.5,60.34863,76.43752500000001
1981-09-24,85.8,60.521015,73.28523750000001
1981-09-25,81.50001,58.421143,69.85061666666667
1981-09-26,77.700005,54.63037,66.65656666666666
1981-09-27,76.8,56.94399,65.639775
1981-09-28,76.7,58.87204,66.20750416666667
1981-09-29,76.9,60.265057,65.8535875
1981-09-30,76.8,57.831017,64.99729583333333
1981-10-01,76.40001,58.104195,63.86089166666667
1981-10-02,77.2,60.990814,64.76884166666666
1981-10-03,78.6,64.282776,67.217475
1981-10-04,80.100006,64.24756,68.8792625
1981-10-05,80.6,63.956024,69.771475
1981-10-06,80.8,64.557205,70.794425
1981-10-07,83.90001,72.100174,76.58284166666667
1981-10-08,88.8,79.78132,85.38973750000001
1981-10-09,94.5,85.129944,94.0714375
1981-10-10,99.4,86.922646,100.4461
1981-10-11,101.0,87.508064,104.163875
1981-10-12,102.0,86.36998,105.06479166666666
1981-10-13,101.0,84.20732,103.76016666666668
1981-10-14,99.50001,81.462234,100.96934583333332
1981-10-15,97.8,78.541695,97.58907916666668
1981-10-16,96.1,76.56805,94.3974625
1981-10-17,92.50001,76.4162,91.08274583333333
1981-10-18,91.1,76.771,89.12482083333333
1981-10-19,90.3,83.74647,89.80677916666667
1981-10-20,89.5,86.50208,92.53153333333334
1981-10-21,89.2,87.27516,96.321725
1981-10-22,87.90001,88.393166,99.20851666666665
1981-10-23,87.1,86.25662,100.71891666666666
1981-10-24,85.9,84.53428,100.3180375
1981-10-25,83.1,82.03306,98.84667916666666
1981-10-26,81.3,80.66931,96.49153749999999
1981-10-27,79.3,79.47737,93.65469166666666
1981-10-28,77.600006,75.97852,90.36604583333333
1981-10-29,74.6,73.90581,86.77036666666667
1981-10-30,72.2,70.93012,83.24006666666666
1981-10-31,69.8,68.8842,79.68904166666667
1981-11-01,67.8,67.13439,76.38927916666667
1981-11-02,65.7,63.59059,73.16559166666667
1981-11-03,63.8,61.231876,69.84259166666666
1981-11-04,61.500008,57.75132,66.68727916666667
1981-11-05,59.5,56.22235,63.81772916666667
1981-11-06,58.5,53.64034,61.44627083333333
1981-11-07,57.3,52.213932,59.474325
1981-11-08,55.300007,50.9638,57.47264583333333
1981-11-09,54.6,49.75067,55.431275
1981-11-10,52.7,48.519493,53.366425
1981-11-11,51.700005,47.292343,51.4771125
1981-11-12,49.7,45.616665,49.67227499999999
1981-11-13,48.300003,44.8001,48.064712500000006
1981-11-14,47.4,43.80429,46.6609125
1981-11-15,46.2,42.408546,45.37873333333334
1981-11-16,45.2,41.179897,44.13129583333333
1981-11-17,44.6,40.664204,43.12359583333333
1981-11-18,44.500004,40.751656,42.69965833333333
1981-11-19,44.2,40.867947,42.30090833333333
1981-11-20,44.8,41.815987,42.42565
1981-11-21,46.4,43.69357,43.81320416666667
1981-11-22,46.6,44.243774,44.68210833333333
1981-11-23,46.6,44.920677,44.6762875
1981-11-24,46.300003,44.513756,44.3894
1981-11-25,45.3,43.754124,43.72947083333333
1981-11-26,44.3,43.53576,43.00630833333333
1981-11-27,45.2,44.65756,43.43611666666666
1981-11-28,44.9,44.08721,44.52769583333333
1981-11-29,44.3,43.52407,44.819224999999996
1981-11-30,43.5,44.11846,44.460274999999996
1981-12-01,42.8,44.192787,43.80075416666667
1981-12-02,42.500004,43.81421,44.1658
1981-12-03,42.3,44.64225,45.04078333333334
1981-12-04,42.2,44.707546,45.972437500000005
1981-12-05,42.000004,45.14947,46.300558333333335
1981-12-06,42.1,45.11667,45.87260416666667
1981-12-07,41.7,44.24941,44.952329166666665
1981-12-08,41.6,43.11409,44.21736666666666
1981-12-09,41.300003,42.08905,43.31519583333333
1981-12-10,40.0,41.23397,42.38494583333333
1981-12-11,39.8,41.524803,41.584624999999996
1981-12-12,41.300003,41.711407,40.862829166666664
1981-12-13,40.700005,40.84518,40.0598125
1981-12-14,40.3,39.878807,39.510245833333336
1981-12-15,39.8,39.443195,39.23869166666667
1981-12-16,39.1,38.307316,38.7741375
1981-12-17,36.5,37.74885,37.94551666666667
1981-12-18,37.5,37.32513,36.97120833333333
1981-12-19,36.1,36.313354,35.96047083333333
1981-12-20,35.3,35.67244,35.07046666666667
1981-12-21,34.4,35.479733,34.34311666666667
1981-12-22,34.7,35.03368,33.749225
1981-12-23,35.5,34.43254,33.3348
1981-12-24,35.200005,33.575943,32.9858625
1981-12-25,34.7,33.23648,32.46109583333333
1981-12-26,34.0,32.782215,31.91497916666667
1981-12-27,33.6,32.233128,31.33620833333333
1981-12-28,33.7,32.657253,30.90727916666667
1981-12-29,33.8,32.100945,30.44044166666667
1981-12-30,33.300003,31.721823,29.950129166666667
